HI,SK,KUR,DSK,DKUR,Surface
0.498039951,0.360014286,2.116444942,-0.18757743,1.484345475,Mars_low_crater
0.383731051,0.489829436,2.197230298,0.407206797,1.624881479,Mars_low_crater
0.605698878,0.137347834,1.875936135,-0.773666831,1.81133647,Mars_low_crater
0.541792098,0.181584247,1.823440032,0.133563001,1.206635738,Mars_low_crater
0.595479236,0.161196256,1.835184275,-0.245777989,1.245376926,Mars_low_crater
0.459883743,0.263889046,1.932499144,0.134871456,1.246161708,Mars_low_crater
0.582813299,0.354586178,1.999515726,-0.136206119,1.484029436,Mars_low_crater
0.540040579,0.153692813,1.802129117,-0.181799124,1.16192394,Mars_low_crater
0.573759205,0.33580254,2.022739342,-0.314708028,1.624955993,Mars_low_crater
0.460035205,0.426454782,2.053142881,0.16141264,1.387725423,Mars_low_crater
0.442566363,0.155095267,1.872507036,-0.087177861,1.137147499,Mars_low_crater
0.289134166,0.351345922,2.0353552,0.557706803,1.589183419,Mars_low_crater
0.589859574,0.274072033,1.913135839,-0.390064455,1.521061378,Mars_low_crater
0.547113868,0.335211403,2.022474802,-0.271661368,1.550125016,Mars_low_crater
0.457234315,0.513131498,2.304988013,-0.043215141,1.687232185,Mars_low_crater
0.528378023,0.175875459,1.836899141,0.047946329,1.188858672,Mars_low_crater
0.556750293,0.343875995,1.988931709,-0.094857584,1.415563273,Mars_low_crater
0.501735181,0.327173405,1.926093352,0.154873754,1.345518882,Mars_low_crater
0.642514738,0.180127746,1.835195138,-0.514262494,1.514771456,Mars_low_crater
0.553303173,0.304266875,2.00278316,-0.155753609,1.409258965,Mars_low_crater
0.58621251,0.23138539,1.819058712,-0.245132681,1.299939474,Mars_low_crater
0.569431254,0.233610794,1.853445952,-0.33454281,1.376580529,Mars_low_crater
0.730042207,0.140808764,1.863845183,-1.225658698,2.928032533,Mars_low_crater
0.608247349,0.130061329,1.866038487,-0.84122476,1.932456471,Mars_low_crater
0.665065847,0.127281155,1.854170599,-0.847485394,1.962130763,Mars_low_crater
0.742739615,0.128134983,1.812992666,-1.120214583,2.53913363,Mars_low_crater
0.45064758,0.295866302,1.891214246,0.164888393,1.262891873,Mars_low_crater
0.563100267,0.403772958,2.154558045,-0.289821553,1.720017212,Mars_low_crater
0.715424171,0.203344835,1.856922819,-1.039373714,2.551518139,Mars_low_crater
0.827325792,0.146765523,1.849054535,-1.150654151,2.967347539,Mars_low_crater
0.498954937,0.292353849,1.941563667,-0.052156764,1.308931279,Mars_high_crater
0.31049205,0.482247261,2.174798796,0.71013487,1.940338092,Mars_high_crater
